folder,status,features_count,ticker_coverage
f178_ebitda_margin_momentum_acceleration,PASS,75,5/5
f179_fcf_yield_volatility_dispersion,FAIL,75,0/5
f17_price_to_sales_regime,FAIL,75,0/5
f180_asset_turnover_to_equity_momentum,FAIL,75,0/5
f181_interest_coverage_stability_regime,FAIL,75,0/5
f182_working_capital_turnover_acceleration,FAIL,75,0/5
f183_ebitda_to_debt_solvency_momentum,FAIL,75,0/5
f184_revenue_growth_to_asset_growth_cycles,FAIL,75,0/5
f185_fcf_per_share_volatility_regime,FAIL,75,0/5
f186_operating_income_to_capex_momentum,FAIL,75,0/5
f187_ebitda_margin_stability_cycles,FAIL,75,0/5
f188_working_capital_to_liabilities_regime,FAIL,75,0/5
f189_revenue_per_share_efficiency_velocity,FAIL,75,0/5
f18_operating_leverage_acceleration,FAIL,75,0/5
f190_asset_growth_volatility_dispersion,FAIL,75,0/5
f191_operating_cash_flow_to_net_income_quality_momentum,FAIL,75,0/5
f192_fcf_per_share_stability_regime,FAIL,75,0/5
f193_revenue_growth_to_debt_growth_cycles,FAIL,75,0/5
f194_ebitda_to_assets_efficiency_velocity,FAIL,75,0/5
f195_working_capital_to_equity_solvency_momentum,FAIL,75,0/5
f196_liabilities_to_ebitda_momentum_acceleration,FAIL,75,0/5
f197_net_income_to_capex_efficiency_regime,PASS,75,1/5
f198_asset_growth_to_turnover_velocity,FAIL,75,0/5
f199_fcf_conversion_volatility_cycles,FAIL,75,0/5
f19_capex_to_revenue_intensity,FAIL,75,0/5
f200_revenue_growth_relative_to_working_capital,FAIL,75,0/5
f201_operating_cash_flow_to_liabilities_velocity,PASS,75,2/5
f202_ebitda_per_share_growth_regime,PASS,75,2/5
f203_net_income_to_working_capital_momentum,FAIL,75,0/5
f204_revenue_growth_relative_to_equity,PASS,75,4/5
f205_fcf_per_share_dispersion_cycles,PASS,75,4/5
f206_asset_growth_to_capex_regime,FAIL,75,0/5
f207_dividend_to_net_income_stability,FAIL,75,0/5
f208_debt_to_assets_velocity_acceleration,FAIL,75,0/5
f209_inventory_to_working_capital_momentum,FAIL,75,0/5
f20_rd_to_revenue_momentum,FAIL,75,0/5
f210_retained_earnings_to_equity_efficiency,FAIL,75,0/5
f211_working_capital_turnover_velocity,PASS,75,5/5
f212_revenue_to_cash_conversion_momentum,PASS,75,5/5
f213_net_income_stability_cycles,PASS,75,5/5
f214_ebitda_to_revenue_margin_regime,PASS,75,4/5
f215_capital_expenditure_to_ebitda_velocity,PASS,75,4/5
f216_asset_growth_momentum_acceleration,FAIL,75,0/5
f217_debt_to_ebitda_solvency_regime,FAIL,75,0/5
f218_fcf_conversion_efficiency_momentum,FAIL,75,0/5
f219_revenue_per_share_growth_velocity,FAIL,75,0/5
f21_gross_profit_per_employee_cycles,FAIL,75,0/5
f220_operating_cash_flow_volatility_cycles,FAIL,75,0/5
f221_retained_earnings_to_total_debt_regime,PASS,75,5/5
f222_working_capital_to_revenue_volatility_cycles,PASS,75,5/5
f223_revenue_growth_to_ncfo_velocity,PASS,75,4/5
f224_ebitda_to_working_capital_acceleration,PASS,75,5/5
f225_net_income_per_share_efficiency_regime,PASS,75,5/5
f226_asset_growth_to_ebitda_efficiency,FAIL,75,0/5
f227_debt_to_equity_momentum_acceleration,FAIL,75,0/5
f228_fcf_conversion_quality_volatility,FAIL,75,0/5
f229_revenue_per_share_stability_regime,FAIL,75,0/5
f22_revenue_per_share_growth,FAIL,75,0/5
f230_operating_cash_flow_to_assets_velocity,FAIL,75,0/5
f231_ebitda_per_share_momentum_acceleration,PASS,75,1/5
f232_net_income_to_assets_efficiency_regime,FAIL,75,0/5
f233_asset_growth_to_revenue_velocity,FAIL,75,0/5
f234_debt_to_ebitda_volatility_cycles,FAIL,75,0/5
f235_fcf_conversion_efficiency_regime,FAIL,75,0/5
f236_revenue_per_share_growth_regime,FAIL,75,0/5
f237_operating_cash_flow_to_working_capital_momentum,FAIL,75,0/5
f238_asset_growth_to_net_income_velocity,FAIL,75,0/5
f239_working_capital_to_ebitda_regime,FAIL,75,0/5
f23_fcf_per_share_volatility,FAIL,75,0/5
f240_revenue_growth_to_fcf_acceleration,FAIL,75,0/5
f241_debt_to_equity_volatility_cycles,FAIL,75,0/5
f242_operating_cash_flow_to_assets_momentum,FAIL,75,0/5
f243_gross_profit_to_revenue_stability,FAIL,75,0/5
f24_asset_turnover_velocity,FAIL,75,0/5
f25_current_ratio_trend,FAIL,75,0/5
f26_quick_ratio_stability,FAIL,75,0/5
f27_debt_servicing_capacity,FAIL,75,0/5
f28_interest_coverage_momentum,FAIL,75,0/5
f29_retained_earnings_turnover,FAIL,75,0/5
f30_working_capital_to_assets_regime,FAIL,75,0/5
f31_liabilities_to_equity_velocity,FAIL,75,0/5
f32_total_assets_growth_resilience,FAIL,75,0/5
f33_operating_income_margin_acceleration,FAIL,75,0/5
f34_net_income_to_ebitda_conversion,FAIL,75,0/5
f35_fcf_conversion_quality,FAIL,75,0/5
f36_ebitda_to_capex_efficiency,FAIL,75,0/5
f37_revenue_surprise_momentum,FAIL,75,0/5
f38_institutional_flow_concentration,FAIL,75,0/5
f39_market_share_dominance,FAIL,75,0/5
f40_valuation_regime_shifts,FAIL,75,0/5
f41_cyclical_regime_proxies,FAIL,75,0/5
f42_tax_efficiency_momentum,FAIL,75,0/5
f43_interest_expense_resilience,FAIL,75,0/5
f44_cash_to_debt_ratio,FAIL,75,0/5
f45_inventory_to_revenue_cycles,FAIL,75,0/5
f46_fixed_asset_turnover_acceleration,FAIL,75,0/5
f47_working_capital_velocity,FAIL,75,0/5
f48_retained_earnings_growth,FAIL,75,0/5
f49_equity_to_assets_solvency,FAIL,75,0/5
f50_revenue_dispersion_regime,FAIL,75,0/5
f51_capex_dynamics,PASS,75,5/5
f52_inventory_cycles,PASS,75,5/5
f53_gross_margin_resilience,PASS,75,5/5
f54_operating_leverage,PASS,75,5/5
f55_institutional_sentiment,PASS,75,5/5
f56_rd_efficiency,PASS,75,5/5
f57_asset_turnover_velocity,FAIL,75,0/5
f58_debt_servicing_capacity,PASS,75,5/5
f59_fcf_conversion_quality,PASS,75,5/5
f60_market_cap_dominance,PASS,75,4/5
f61_valuation_regime,PASS,75,5/5
f62_dividend_sustainability,PASS,75,5/5
f63_debt_maturity_structure,PASS,75,5/5
f64_fcf_yield_dynamics,PASS,75,5/5
f65_market_share_momentum,PASS,75,5/5
f66_cyclical_regime_proxies,FAIL,75,0/5
f67_working_capital_velocity,PASS,75,5/5
f68_retained_earnings_growth,PASS,75,5/5
f69_operating_cash_flow_stability,PASS,75,4/5
f70_liabilities_to_equity_momentum,PASS,75,5/5
f71_revenue_per_share_acceleration,PASS,75,5/5
f72_ebitda_margin_volatility,FAIL,75,0/5
f73_asset_growth_efficiency,PASS,75,5/5
f74_debt_to_assets_momentum,PASS,75,5/5
f75_fcf_per_share_acceleration,PASS,75,4/5
f76_institutional_flow_concentration,FAIL,75,0/5
f77_capex_to_ebitda_regime,PASS,75,5/5
f78_working_capital_intensity,PASS,75,5/5
f79_retained_earnings_velocity,PASS,75,5/5
f80_liability_structure_stability,PASS,75,5/5
f81_revenue_growth_acceleration,PASS,75,5/5
f82_net_income_resilience,PASS,75,4/5
f83_asset_utilization_momentum,PASS,75,4/5
f84_debt_to_equity_cycles,PASS,75,3/5
f85_fcf_quality_trend,PASS,75,4/5
f86_market_cap_relative_momentum,FAIL,75,0/5
f87_operating_income_velocity,FAIL,75,0/5
f88_tax_efficiency_regime,FAIL,75,0/5
f89_interest_expense_momentum,FAIL,75,0/5
f90_current_ratio_volatility,FAIL,75,0/5
f91_retained_earnings_to_assets,FAIL,75,0/5
f92_cash_conversion_cycle_velocity,PASS,75,5/5
f93_inventory_to_revenue_momentum,PASS,75,5/5
f94_fixed_asset_turnover_regime,PASS,75,5/5
f95_operating_leverage_acceleration,PASS,75,5/5
f96_ebitda_to_capex_resilience,PASS,75,5/5
f97_rd_to_revenue_momentum,PASS,75,4/5
f98_gross_profit_per_employee_proxy,PASS,75,4/5
f99_asset_growth_to_debt_ratio,PASS,75,4/5
